C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,300.0,240.0,1480.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,350.0,240.0,1200.0
3.51,2.53,0.008,0.042,0.056,0.303,0.95,0.8,0.291,0.05,0.03,0.0,0.0004,0.0,87.5,10.700999999999999,90.0,90.0,10.0,679.5351999999998,4.1095999999999995,18.03,900.0,120.0,400.0,240.0,1020.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,30.0,1080.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,60.0,1040.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,90.0,970.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,350.0,120.0,953.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,30.0,1107.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,60.0,1026.0
3.53,2.11,0.013,0.033,0.043,0.19,0.45,0.01,0.001,0.02,0.0,0.0,0.0,0.0,220.286935483871,12.2793,91.96,81.84299999999992,16.045999999999996,588.0,10.2,13.625,910.0,60.0,300.0,90.0,994.0
