C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_RM
3.72,2.51,0.017,0.021,0.049,0.15,0.09,0.05,0.07,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,30.0,1380.0
3.6,2.48,0.007,0.022,0.048,0.31,0.06,0.05,0.22,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,40.0,1084.0
3.6,2.48,0.007,0.022,0.048,0.31,0.06,0.05,0.22,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,30.0,1375.0
3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,40.0,1495.0
3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,30.0,1153.0
3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,871.0,60.0,371.0,25.0,1026.0
3.59,2.49,0.011,0.025,0.047,0.15,0.08,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,871.0,60.0,316.0,20.0,1294.0
3.58,2.33,0.016,0.024,0.045,0.3,0.06,0.05,0.44,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,50.0,1100.0
3.58,2.33,0.016,0.024,0.045,0.3,0.06,0.05,0.44,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,40.0,1378.0
3.56,2.33,0.018,0.021,0.039,0.57,0.1,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,60.0,1055.0
3.56,2.33,0.018,0.021,0.039,0.57,0.1,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,316.0,60.0,1403.0
3.56,2.33,0.018,0.021,0.039,0.57,0.1,0.05,0.06,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,871.0,60.0,371.0,60.0,1156.0
3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,160.0,1160.0
3.69,2.46,0.01,0.026,0.036,0.61,0.56,0.05,0.21,0.02110000000000001,0.016719999999999992,0.001358000000000001,0.034800000000000025,0.0023300000000000013,275.0,12.4453,98.19399999999997,90.647,10.75,567.7471999999999,7.7093,12.0,927.0,60.0,371.0,100.0,1124.0
