C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_C
3.72,2.6,0.0,0.0,0.0,0.16,0.0,0.54,0.2,0.026210000000000004,0.01593999999999999,0.0016620000000000007,0.0,0.0023900000000000015,215.0,10.5,90.025,82.7,17.3,644.6932999999999,4.0855999999999995,17.0,890.0,90.0,380.0,120.0,81.0
3.72,2.46,0.004,0.015,0.024,0.18,0.04,0.03,0.15,0.02,0.015619999999999983,0.0033240000000000023,0.015240000000000009,0.0026600000000000018,150.0,12.329299999999998,100.0,82.23099999999998,16.203999999999997,570.9920999999999,7.225300000000008,21.268091733466854,880.0,60.0,400.0,60.0,11.0
3.72,2.46,0.004,0.015,0.024,0.18,0.04,0.03,0.15,0.02,0.015619999999999983,0.0033240000000000023,0.015240000000000009,0.0026600000000000018,150.0,12.329299999999998,100.0,82.23099999999998,16.203999999999997,570.9920999999999,7.225300000000008,21.268091733466854,880.0,60.0,370.0,60.0,11.0
3.72,2.46,0.004,0.015,0.024,0.18,0.04,0.03,0.15,0.02,0.015619999999999983,0.0033240000000000023,0.015240000000000009,0.0026600000000000018,150.0,12.329299999999998,100.0,82.23099999999998,16.203999999999997,570.9920999999999,7.225300000000008,21.268091733466854,880.0,60.0,335.0,60.0,10.0
3.72,2.46,0.004,0.015,0.024,0.18,0.04,0.03,0.15,0.02,0.015619999999999983,0.0033240000000000023,0.015240000000000009,0.0026600000000000018,150.0,12.329299999999998,100.0,82.23099999999998,16.203999999999997,570.9920999999999,7.225300000000008,21.268091733466854,880.0,60.0,300.0,60.0,7.0
3.72,2.46,0.004,0.015,0.024,0.18,0.04,0.03,0.15,0.02,0.015619999999999983,0.0033240000000000023,0.015240000000000009,0.0026600000000000018,150.0,12.329299999999998,100.0,82.23099999999998,16.203999999999997,570.9920999999999,7.225300000000008,21.268091733466854,880.0,60.0,270.0,60.0,6.0
3.72,2.46,0.004,0.015,0.024,0.18,0.04,0.03,0.15,0.02,0.015619999999999983,0.0033240000000000023,0.015240000000000009,0.0026600000000000018,150.0,12.329299999999998,100.0,82.23099999999998,16.203999999999997,570.9920999999999,7.225300000000008,21.268091733466854,880.0,60.0,240.0,60.0,4.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,270.0,60.0,138.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,270.0,120.0,132.0
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.29820000000000046,1.6964299999999994,0.0071670000000000076,0.0,0.010730000000000009,100.0,10.685,80.0,98.97,10.12,741.0,4.26,22.91,900.0,120.0,270.0,180.0,115.0
