C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Graphite emission [mm-2],Graphite emission share [%],Spheroid diameter [μm],Nodularity [%],Perlite share [%],Ferrite share [%],Rm [MPa] (as cast),A5 [%]     (as cast),Min wall thickness [mm],Austenitization temp [C],Austenitization time [min.],Isothermal process temp [C],Isothermal process time [min.],y_MV
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,1.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,0.5
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,52.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,20.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,5.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,2.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,1.0
3.14,2.67,0.003,0.023,0.045,0.07,0.8,0.3,0.25,0.12,0.006330000000000003,0.030212000000000003,0.0037199999999999998,0.0009700000000000007,120.0,9.992199999999997,19.2296,90.789,46.3,41.0,750.33,4.846199999999999,41.32427835051547,0.12,0.0,0.0015185365853658537,0.0,0.5
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,55.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,16.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,7.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,3.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,64.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,15.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,6.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.66,2.23,0.015,0.024,0.047,0.26,1.02,0.66,0.26,0.0,0.0,0.0,0.0,0.0,155.0,7.6,28.604299999999995,95.0,75.4,24.6,586.9922000000001,5.805699999999999,20.84,0.0,0.0,0.0,0.0,0.0
3.48,2.7,0.001,0.033,0.0,0.07,0.06,0.02,0.0,0.03,0.0,0.0,0.0,0.0,204.0489230769231,10.3659,21.0434,87.50299999999999,49.10500000000002,48.251999999999995,516.7545999999999,22.075000000000003,21.750333333333334,0.03,0.0,0.0,0.0,10.5
3.48,2.7,0.001,0.033,0.0,0.07,0.06,0.02,0.0,0.03,0.0,0.0,0.0,0.0,204.0489230769231,10.3659,21.0434,87.50299999999999,49.10500000000002,48.251999999999995,516.7545999999999,22.075000000000003,21.750333333333334,0.03,0.0,0.0,0.0,18.0
3.48,2.7,0.001,0.033,0.0,0.07,0.06,0.02,0.0,0.03,0.0,0.0,0.0,0.0,204.0489230769231,10.3659,21.0434,87.50299999999999,49.10500000000002,48.251999999999995,516.7545999999999,22.075000000000003,21.750333333333334,0.03,0.0,0.0,0.0,21.2
3.48,2.7,0.001,0.033,0.0,0.07,0.06,0.02,0.0,0.03,0.0,0.0,0.0,0.0,204.0489230769231,10.3659,21.0434,87.50299999999999,49.10500000000002,48.251999999999995,516.7545999999999,22.075000000000003,21.750333333333334,0.03,0.0,0.0,0.0,36.6
3.48,2.7,0.001,0.033,0.0,0.07,0.06,0.02,0.0,0.03,0.0,0.0,0.0,0.0,204.0489230769231,10.3659,21.0434,87.50299999999999,49.10500000000002,48.251999999999995,516.7545999999999,22.075000000000003,21.750333333333334,0.03,0.0,0.0,0.0,39.2
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,15.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.001
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,20.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,18.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.001
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,35.0
3.75,2.29,0.014,0.34,0.04,0.374,1.41,0.0,0.32,0.0,0.0,0.0,0.0,0.0,250.9431595896958,11.3976,54.979,87.022,39.13099999999999,57.975000000000016,568.9568000000002,6.7475,23.165,0.0,0.0,0.0,0.0,0.001
